project;peaks;docs
xstream;CLASSLOADING,REFLECTION,NET,UNSAFE,FS,SYSTEM,SECURITY,NATIVE;CLASSLOADING,REFLECTION,DEBUG,NET,FS,SECURITY
weka;CLASSLOADING,CLIPBOARD,REFLECTION,NET,UNSAFE,FS,SYSTEM,SECURITY,NATIVE,PRINT,GUI;CLIPBOARD,REFLECTION,DEBUG,NET,UNSAFE,FS,SYSTEM,PRINT,GUI,INPUT
testng;CLASSLOADING,REFLECTION,NET,UNSAFE,FS,SYSTEM,SECURITY,NATIVE;REFLECTION,DEBUG,NET,FS,SECURITY
sunflow;CLASSLOADING,REFLECTION,NET,UNSAFE,FS,SYSTEM,SECURITY,NATIVE,GUI;NET,FS,GUI,REFLECTION
slf4j;REFLECTION,NET,UNSAFE,FS,SYSTEM,SECURITY,NATIVE;FS,REFLECTION,DEBUG
sandmark;CLASSLOADING,REFLECTION,NET,UNSAFE,FS,SYSTEM,SECURITY,NATIVE,GUI;REFLECTION,DEBUG,NET,UNSAFE,FS,GUI
pooka;CLASSLOADING,CLIPBOARD,REFLECTION,NET,UNSAFE,FS,SYSTEM,SECURITY,NATIVE,PRINT,GUI;CLIPBOARD,REFLECTION,DEBUG,NET,FS,SYSTEM,SECURITY,PRINT,GUI,INPUT
mockito;CLASSLOADING,REFLECTION,NET,UNSAFE,FS,SYSTEM,SECURITY,NATIVE;NET,REFLECTION,DEBUG
maven-plugin;CLASSLOADING,REFLECTION,NET,UNSAFE,FS,SYSTEM,SECURITY,NATIVE;NET,REFLECTION,DEBUG
maven-core;CLASSLOADING,REFLECTION,UNSAFE,FS,SYSTEM,SECURITY,NATIVE;REFLECTION,DEBUG,NET,FS,SECURITY
lucene-suggest;NATIVE,REFLECTION,FS,UNSAFE;NET,FS,REFLECTION
lucene-spatial;CLASSLOADING,REFLECTION,UNSAFE,FS,SECURITY,NATIVE;REFLECTION
lucene-queryparser;CLASSLOADING,REFLECTION,UNSAFE,FS,SYSTEM,SECURITY,NATIVE;FS,REFLECTION,DEBUG
lucene-queries;NATIVE,REFLECTION;NET,REFLECTION
lucene-misc;REFLECTION,NET,UNSAFE,FS,SYSTEM,SECURITY,NATIVE;FS,REFLECTION
lucene-memory;;SECURITY,REFLECTION,DEBUG
lucene-join;NATIVE,REFLECTION,SECURITY;REFLECTION
lucene-highlighter;REFLECTION,NET,UNSAFE,FS,SYSTEM,SECURITY,NATIVE;GUI,REFLECTION,DEBUG
lucene-grouping;NATIVE,SECURITY,UNSAFE;REFLECTION
lucene-facet;REFLECTION,UNSAFE,FS,SYSTEM,SECURITY,NATIVE;SECURITY,FS,REFLECTION
lucene-demo;FS,SYSTEM,NATIVE,SECURITY;FS,REFLECTION
